datetime,delay,distance,origin,destination
01211225,1142.9,3328.61,RB2575,ok3587
01211305,1262.12,953.436,AX1410,db99
01211306,1219.74,2429.91,AX1410,db99
01211307,1177.91,1027.22,AX1410,db99
01211307,1228.12,910.159,AX1410,db99
01211308,1229.63,3389.12,AX1410,db99
01211308,1220.59,2290.62,AX1410,db99
01211553,1185.79,1232.67,RB1902,ok2460
01211554,1074.05,1911.01,RB1902,ok2460
01211556,1098.8,1753.23,RB1902,ok2460
01211557,1048.32,3080.25,RB1902,ok2460
01211557,1175.57,797.48,RB1902,ok2460
01211558,1088.56,780.25,RB1902,ok2460
01211602,1096.68,2018.23,RB1902,ok2460
01211614,1247.76,3697.9,VC2502,gk1075
01211614,1249.15,2588.37,VC2502,gk1075
01211614,1169.34,4161.91,VC2502,gk1075
01211615,1222.77,3538.52,VC2502,gk1075
01211616,1177.73,680.034,VC2502,gk1075
01211637,1186.47,1982.89,VC2497,ok3265
01211644,1203.92,3386.54,VC2502,gk1075
01211702,1289.47,1066.29,VC2423,gk1038
01211704,1266.26,1644.11,VC2423,gk1038
01211704,1257.98,3484.1,VC2423,gk1038
01211704,1268.27,3485.11,VC2423,gk1038
01211704,1276.75,1710.97,VC2423,gk1038
01211727,1233.91,3628.49,RB2188,ok2964
01211728,1174.87,3022.27,VC2423,gk1038
01221011,1185.78,1157.8,N2,-N/A-
01221011,1091.74,725.828,N2,-N/A-
01221012,1194.11,1042.98,N2,-N/A-
01221012,1120.17,489.914,N2,-N/A-
01221012,1145.93,2737.16,N2,-N/A-
01221013,1049.18,414.887,N2,-N/A-
01221013,1163.84,1814.02,N2,-N/A-
01221014,1178.67,1592.53,N2,-N/A-
01221032,1096.99,373.879,FX1568,tm1568
01221033,1064.69,241.301,FX1568,tm1568
01221033,1140.39,522.047,FX1568,tm1568
01221035,1060.49,990.945,FX1568,tm1568
01221053,1144.49,1828.66,AX1743,tm1782
01221054,1158.1,1892.52,AX1743,tm1782
01221054,1099.83,2442.74,AX1743,tm1782
01221055,1139.11,3035.98,AX1743,tm1782
01221055,1115.45,2667.64,AX1743,tm1782
01221056,1081.08,2461.51,AX1743,tm1782
01221056,1150.0,3021.83,AX1743,tm1782
01221112,1244.68,3434.11,FX1583,tm1583
01221113,1060.24,4097.75,FX1583,tm1583
01221114,1056.14,3656.54,FX1583,tm1583
01221114,1100.01,3188.63,FX1583,tm1583
01221115,1174.61,3253.94,FX1583,tm1583
01221115,1000.41,3260.79,FX1583,tm1583
01221132,1081.21,3758.99,DA609,ad609
01221133,1080.97,3450.3,DA609,ad609
01221135,1030.67,3525.14,DA609,ad609
01221153,1101.98,2370.35,AQ2153,tm1504
01221153,1130.45,1359.85,AQ2153,tm1504
01221153,1218.06,3521.83,AQ2153,tm1504
01221154,1055.57,2823.94,AQ2153,tm1504
01221155,1169.05,1077.82,AQ2153,tm1504
01221156,1140.49,2478.02,AQ2153,tm1504
01221212,1075.32,1370.86,IC683,tm1652
01221213,1061.22,379.515,IC683,tm1652
01221213,1066.78,2108.07,IC683,tm1652
01221213,919.863,2596.41,IC683,tm1652
01221214,1143.53,1442.11,IC683,tm1652
01221215,1012.49,750.718,IC683,tm1652
01221231,1092.53,1401.26,FX1553,tm1553
01221232,1120.46,1382.59,FX1553,tm1553
01221232,1196.96,1678.99,FX1553,tm1553
01221232,1123.42,978.507,FX1553,tm1553
01221233,1017.81,871.85,FX1553,tm1553
01221233,1084.75,1441.39,FX1553,tm1553
01221234,1104.93,2827.83,FX1553,tm1553
01221234,1081.87,3358.98,FX1553,tm1553
01221252,1190.15,2417.06,AX1745,ok1583
01221253,1120.76,1465.74,AX1745,ok1583
01221253,1170.92,1727.89,AX1745,ok1583
01221254,1138.7,3559.51,AX1745,ok1583
01221312,1033.67,3064.31,AQ2056,ok419
01221312,1141.12,3197.16,AQ2056,ok419
01221312,1160.76,3564.95,AQ2056,ok419
01221313,1092.49,3350.17,AQ2056,ok419
01221314,1058.73,668.532,AQ2056,ok419
01221314,1101.36,2856.28,AQ2056,ok419
01221441,1214.67,1533.0,FX1498,tm1498
01221442,1199.8,2550.13,FX1498,tm1498
01221442,1236.48,683.196,FX1498,tm1498
01221443,1187.55,1340.34,FX1498,tm1498
01221443,1246.28,1188.6,FX1498,tm1498
01221443,1237.03,2045.67,FX1498,tm1498
01221444,1191.13,566.791,FX1498,tm1498
01221503,1185.08,1577.02,VC224,ok371
01221504,1129.31,3898.41,VC224,ok371
01221504,1187.95,2101.31,VC224,ok371
01221505,1163.07,3246.42,VC224,ok371
01221523,1110.47,1234.52,FX1846,tm1846
01221524,1115.85,1266.62,FX1846,tm1846
01221524,1148.75,3352.55,FX1846,tm1846
01221524,1066.79,4038.14,FX1846,tm1846
01221525,1113.3,326.809,FX1846,tm1846
01221526,1114.29,2006.15,FX1846,tm1846
01221544,1162.33,396.063,VC125,ok325
01221545,1194.62,1940.26,VC125,ok325
01221545,1268.51,3314.58,VC125,ok325
01221546,1243.17,3223.3,VC125,ok325
01221547,1225.53,1790.89,VC125,ok325
01221607,1253.44,1671.68,MT9455,n3247
01221608,1206.14,2850.39,MT9455,n3247
01221608,1207.19,709.133,MT9455,n3247
01221608,1234.05,2313.52,MT9455,n3247
01221610,1138.65,1041.91,MT9455,n3247
01221610,1165.27,3441.97,MT9455,n3247
01221610,1126.17,79.8119,MT9455,n3247
01251131,1117.91,1557.38,N2,-N/A-
01251132,1169.17,926.896,N2,-N/A-
01251132,1102.23,294.711,N2,-N/A-
01251132,1136.31,1724.47,N2,-N/A-
01251133,1206.49,1321.1,N2,-N/A-
01251134,1100.05,1392.14,N2,-N/A-
01251154,1121.1,4580.21,AQ2153,tm1504
01251155,1105.84,198.535,AQ2153,tm1504
01251155,1137.6,1504.26,AQ2153,tm1504
01251156,1135.69,2257.62,AQ2153,tm1504
01251156,1132.17,320.631,AQ2153,tm1504
01251157,1144.49,2802.08,AQ2153,tm1504
01251157,1140.32,1269.52,AQ2153,tm1504
01251214,1115.13,3102.23,FX1553,tm1553
01251215,1096.47,2364.95,FX1553,tm1553
01251215,1054.63,3460.23,FX1553,tm1553
01251215,1089.07,2787.93,FX1553,tm1553
01251216,1139.58,1529.89,FX1553,tm1553
01251218,1133.59,2212.08,FX1553,tm1553
01251237,1073.82,1904.26,AX1745,ok1583
01251237,1107.65,1554.38,AX1745,ok1583
01251257,1104.67,1462.0,RB799,ok594
01251258,1165.15,3889.35,RB799,ok594
01251258,1098.97,1286.49,RB799,ok594
01251258,1120.27,484.385,RB799,ok594
01251300,1125.62,2856.23,RB799,ok594
01251317,1089.26,1492.39,FX1498,tm1498
01251317,1178.07,1116.71,FX1498,tm1498
01251317,1156.06,3741.9,FX1498,tm1498
01251318,1127.91,3299.59,FX1498,tm1498
01251423,1113.26,781.233,FX1568,tm1568
01251423,1131.54,1074.84,FX1568,tm1568
01251423,1075.54,3447.56,FX1568,tm1568
01251424,1118.36,387.287,FX1568,tm1568
01251425,1117.99,581.202,FX1568,tm1568
01251446,1173.74,1615.22,AX1743,tm1782
01251447,1111.99,3594.0,AX1743,tm1782
01251447,1160.43,2126.25,AX1743,tm1782
01251447,1102.26,1353.26,AX1743,tm1782
01251448,1129.13,317.771,AX1743,tm1782
01251449,1111.28,2271.88,AX1743,tm1782
01251509,1142.34,4399.3,FX1583,tm1583
01251509,1137.1,3997.84,FX1583,tm1583
01251510,1099.46,3919.69,FX1583,tm1583
01251511,1070.48,3926.14,FX1583,tm1583
01251511,1126.15,3949.14,AX1743,tm1782
01251528,1170.28,1224.67,AQ2056,ok419
01251528,353.062,750.898,AQ2056,ok419
01251529,1043.01,565.828,AQ2056,ok419
01251529,1101.68,3669.73,AQ2056,ok419
01251530,1059.57,1845.46,AQ2056,ok419
01251530,1188.63,1781.36,AQ2056,ok419
01251546,1084.19,989.311,RB761,ok527
01251547,1191.96,1448.2,RB761,ok527
01251547,1148.03,2336.54,RB761,ok527
01251547,1180.14,2090.61,RB761,ok527
01251548,1198.43,3771.43,RB761,ok527
01251549,1112.95,3847.5,RB761,ok527
01251607,1125.85,4213.2,DA609,ad609
01251608,1129.85,5435.23,DA609,ad609
01251608,1135.99,4144.81,DA609,ad609
01251609,1077.02,2831.72,DA609,ad609
01251609,1087.74,2055.7,DA609,ad609
01251622,1145.74,202.274,IC683,tm1652
01251623,1173.27,1308.46,IC683,tm1652
01251623,1132.19,1883.23,IC683,tm1652
01251623,1106.91,905.477,IC683,tm1652
01251624,1036.98,1086.53,IC683,tm1652
01251625,1104.46,763.939,IC683,tm1652
01251625,1150.3,3902.65,IC683,tm1652
01261042,1260.05,1672.5,N2,-N/A-
01261043,1252.79,2069.91,N2,-N/A-
01261043,1204.71,989.254,N2,-N/A-
01261043,1203.89,2708.02,N2,-N/A-
01261044,1098.61,2730.79,N2,-N/A-
01261045,1266.96,2046.08,N2,-N/A-
01261105,1120.95,2765.5,FX1846,tm1846
